name,origin_price,sale_price,status,quantity,description,short_description,category_id
VÍ BÒ SÁP VBD-009,350000,349000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",7
VÍ NAME CARD VC-001,330000,300000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",10
VÍ DOANH NHÂN VCN-001,450000,410000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",10
VÍ DA BÒ NGANG VBN-004,400000,360000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",7
VÍ CÁ SẤU NGUYÊN CON NGANG VSN-002,1000000,890000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",7
THẮT LƯNG CÁ SẤU TLS-001,1300000,1290000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",17
THẮT LƯNG ĐÀ ĐIỂU TLD-001,800000,720000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",17
VÍ DA BÒ ĐỨNG VBD-002,300000,249000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",8
VÍ DA BÒ HANMATE VBH-001,1100000,890000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",8
VÍ DA CÁ SẤU NGANG VSN-001,900000,790000,50,"Một quý ông thời trang, sành điệu chắc chắn sẽ không thể bỏ qua một chiếc túi đeo chéo nhỏ gọn, nhẹ nhàng mỗi khi đi ra ngoài. da bò thật không chỉ đa năng, tiện lợi mà còn thể hiện được sự nam tính, không quá cầu kì nhưng vô cùng tiện dụng và cực kỳ thời trang. Với kiểu dáng hiện đại, độ bền cao các chàng trai cũng nên sở hữu cho mình để phong cách thời trang của mình thêm mới lạ và phong phú hơn.","CHẤT LIỆU: DA BÒ SÁP CAO CẤP THẬT 100%",7
